Test,District ID,School ID,District Name,School Name,School Year,Number of Students Tested,Standard CAPT Score Summary Average Scale Score,Standard CAPT Score Summary Percent at/above goal level,Standard CAPT Score Summary Percent at/above proficient level,Standard CAPT Results by Below Basic,Standard CAPT Results by Basic,Standard CAPT Results by Proficient,Standard CAPT Results by Goal,Standard CAPT Results by Advanced,Assessment Participation Standard CAPT ,Assessment Participation Skills Checklist ,Assessment Participation Modified Assessment,Assessment Participation ELL Exempt ,Assessment Participation No Valid Score ,Assessment Participation Total Participation ,Assessment Participation Absent 
Mathematics,279,51,Amistad Academy District,Amistad Academy,2010-11,26,263.2,53.8,92.3,3.8,3.8,38.5,42.3,11.5,83.9,0,3.2,0,9.7,96.8,3.2
Mathematics,2,61,Ansonia School District,Ansonia High School,2010-11,187,225.4,19.3,56.1,18.2,25.7,36.9,13.4,5.9,94.9,1,0.5,0,2,98.5,1.5
Mathematics,244,91,Area Cooperative Educational Services,Whitney High School North,2010-11,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Mathematics,4,61,Avon School District,Avon High School,2010-11,260,288.1,76.9,95,0.4,4.6,18.1,28.8,48.1,97.4,0.4,1.1,0,0,98.9,1.1
Mathematics,7,61,Berlin School District,Berlin High School,2010-11,252,269.8,65.1,94.8,1.6,3.6,29.8,39.3,25.8,97.3,0,1.2,0.4,0,98.8,1.2
Mathematics,9,61,Bethel School District,Bethel High School,2010-11,228,271.1,66.7,91.2,4.4,4.4,24.6,36.8,29.8,97.9,0.4,1.3,0,0.4,100,0
Mathematics,11,61,Bloomfield School District,Bloomfield High School,2010-11,130,218.9,16.2,49.2,20,30.8,33.1,14.6,1.5,89.7,1.4,6.9,0,0.7,98.6,1.4
Mathematics,11,62,Bloomfield School District,The Big Picture High School,2010-11,30,196.7,0,30,26.7,43.3,30,0,0,93.8,0,6.3,0,0,100,0
Mathematics,12,61,Bolton School District,Bolton High School,2010-11,77,269.4,58.4,93.5,1.3,5.2,35.1,32.5,26,90.6,1.2,7.1,0,0,98.8,1.2
Mathematics,14,61,Branford School District,Branford High School,2010-11,268,261.1,55.6,85.4,4.1,10.4,29.9,36.6,19,96.8,1.1,1.1,0,0.4,99.3,0.7
Mathematics,15,61,Bridgeport School District,Bassick High School,2010-11,165,191.3,3,27.3,41.8,30.9,24.2,1.8,1.2,87.8,2.7,1.1,0,0.5,92,8
Mathematics,15,62,Bridgeport School District,Central High School,2010-11,484,216.5,16.1,52.1,27.3,20.7,36,13.2,2.9,92,0.8,1.1,0,1,94.9,5.1
Mathematics,15,63,Bridgeport School District,Harding High School,2010-11,205,190,3.9,24.4,48.3,27.3,20.5,3.4,0.5,63.5,1.9,0.6,0.6,3.1,69.7,30.3
Mathematics,17,61,Bristol School District,Bristol Central High School,2010-11,309,257.3,48.9,87.7,4.2,8.1,38.8,34.3,14.6,93.6,0.9,3,0.3,1.5,99.4,0.6
Mathematics,17,62,Bristol School District,Bristol Eastern High School,2010-11,287,257.1,51.9,84.3,6.3,9.4,32.4,33.1,18.8,94.7,1,2,0.3,0,98,2
Mathematics,18,61,Brookfield School District,Brookfield High School,2010-11,233,282.7,74.2,97.4,0.4,2.1,23.2,34.3,39.9,99.1,0.9,0,0,0,100,0
Mathematics,23,61,Canton School District,Canton High School,2010-11,122,282.1,78.7,97.5,0.8,1.6,18.9,37.7,41,97.6,1.6,0.8,0,0,100,0
Mathematics,241,52,Capitol Region Education Council,CREC - Public Safety Academy Interdistrict Magnet School,2010-11,22,213.8,13.6,40.9,9.1,50,27.3,13.6,0,84.6,3.8,7.7,0,3.8,100,0
Mathematics,241,63,Capitol Region Education Council,Great Path Academy at MCC,2010-11,79,245.1,27.8,82.3,6.3,11.4,54.4,19,8.9,96.3,0,0,2.4,1.2,100,0
Mathematics,241,64,Capitol Region Education Council,Greater Hartford Academy of  the Arts - Full Time,2010-11,83,247.6,32.5,80.7,8.4,10.8,48.2,15.7,16.9,96.5,0,3.5,0,0,100,0
Mathematics,241,51,Capitol Region Education Council,Greater Hartford Academy of Math and Science,2010-11,39,274.3,59,87.2,2.6,10.3,28.2,23.1,35.9,100,0,0,0,0,100,0
Mathematics,241,61,Capitol Region Education Council,Metropolitan Learning Center,2010-11,86,257.9,40.7,94.2,0,5.8,53.5,29.1,11.6,93.5,0,3.3,0,3.3,100,0
Mathematics,25,61,Cheshire School District,Cheshire High School,2010-11,354,283.4,75.7,96.6,0.6,2.8,20.9,33.3,42.4,96.2,1.4,1.9,0,0.3,99.7,0.3
Mathematics,27,61,Clinton School District,The Morgan School,2010-11,130,259.7,53.8,90,3.1,6.9,36.2,38.5,15.4,95.6,0,2.9,0,1.5,100,0
Mathematics,28,61,Colchester School District,Bacon Academy,2010-11,240,260.6,50.4,89.2,2.5,8.3,38.8,33.3,17.1,96.4,0.8,1.6,0,1.2,100,0
Mathematics,268,61,Common Ground High School District,Common Ground High School,2010-11,37,241,21.6,81.1,2.7,16.2,59.5,16.2,5.4,97.4,0,2.6,0,0,100,0
Mathematics,900,15,Connecticut Technical High School System,A. I. Prince Technical High School,2010-11,193,221.4,3.6,57,9.3,33.7,53.4,3.6,0,100,0,0,0,0,100,0
Mathematics,900,11,Connecticut Technical High School System,Bullard-Havens Technical High School,2010-11,226,239.7,20.4,79.6,4,16.4,59.3,15.5,4.9,100,0,0,0,0,100,0
Mathematics,900,19,Connecticut Technical High School System,E. C. Goodwin Technical High School,2010-11,154,237.4,24,72.1,6.5,21.4,48.1,20.1,3.9,100,0,0,0,0,100,0
Mathematics,900,14,Connecticut Technical High School System,Eli Whitney Technical High School,2010-11,128,218,5.5,49.2,9.4,41.4,43.8,4.7,0.8,98.5,0,0,0,0,98.5,1.5
Mathematics,900,27,Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,2010-11,164,244,30.5,79.9,3,17.1,49.4,25,5.5,98.8,0,0,0,0.6,99.4,0.6
Mathematics,900,25,Connecticut Technical High School System,Emmett O'Brien Technical High School,2010-11,135,238.7,22.2,76.3,2.2,21.5,54.1,19.3,3,99.3,0,0,0,0.7,100,0
Mathematics,900,17,Connecticut Technical High School System,H. C. Wilcox Technical High School,2010-11,193,258,48.2,91.7,1,7.3,43.5,35.8,12.4,100,0,0,0,0,100,0
Mathematics,900,13,Connecticut Technical High School System,H. H. Ellis Technical High School,2010-11,135,256.5,46.7,91.9,0.7,7.4,45.2,40,6.7,100,0,0,0,0,100,0
Mathematics,900,12,Connecticut Technical High School System,Henry Abbott Technical High School,2010-11,157,248.2,35.7,84.1,2.5,13.4,48.4,30.6,5.1,100,0,0,0,0,100,0
Mathematics,900,16,Connecticut Technical High School System,Howell Cheney Technical High School,2010-11,187,249.2,37.4,84.5,1.6,13.9,47.1,30.5,7,100,0,0,0,0,100,0
Mathematics,900,20,Connecticut Technical High School System,Norwich Technical High School,2010-11,175,257.5,49.7,92,1.7,6.3,42.3,39.4,10.3,100,0,0,0,0,100,0
Mathematics,900,22,Connecticut Technical High School System,Oliver Wolcott Technical High School,2010-11,177,254.3,42.4,89.3,2.3,8.5,46.9,31.1,11.3,100,0,0,0,0,100,0
Mathematics,900,26,Connecticut Technical High School System,Platt Technical High School,2010-11,222,261.1,48.2,95,0.5,4.5,46.8,35.1,13.1,100,0,0,0,0,100,0
Mathematics,900,18,Connecticut Technical High School System,Vinal Technical High School,2010-11,157,247.2,34.4,82.2,3.8,14,47.8,28,6.4,100,0,0,0,0,100,0
Mathematics,900,23,Connecticut Technical High School System,W. F. Kaynor Technical High School,2010-11,201,254,42.3,90,1,9,47.8,35.8,6.5,100,0,0,0,0,100,0
Mathematics,900,24,Connecticut Technical High School System,Windham Technical High School,2010-11,145,259.7,51,93.1,0.7,6.2,42.1,37.9,13.1,100,0,0,0,0,100,0
Mathematics,32,61,Coventry School District,Coventry High School,2010-11,128,259.7,55.5,83.6,6.3,10.2,28.1,33.6,21.9,92.1,2.9,2.2,0,0,97.1,2.9
Mathematics,33,61,Cromwell School District,Cromwell High School,2010-11,135,264.9,57.8,84.4,6.7,8.9,26.7,31.9,25.9,96.4,1.4,0,0,0.7,98.6,1.4
