Test,Grade,District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
Mathematics,3,288,Achievement First Hartford Academy Inc.,1,Achievement First Hartford Academy Inc.,2010-11,77,257.1,62.3,93.5
Mathematics,3,279,Amistad Academy District,51,Amistad Academy,2010-11,76,276.4,77.6,97.4
Mathematics,3,1,Andover School District,1,Andover Elementary School,2010-11,47,270.2,68.1,100
Mathematics,3,2,Ansonia School District,3,Mead School,2010-11,97,251.6,49.5,80.4
Mathematics,3,2,Ansonia School District,8,Prendergast School,2010-11,77,241.5,46.8,77.9
Mathematics,3,244,Area Cooperative Educational Services,3,Wintergreen Interdistrict  Magnet School,2010-11,71,238.6,47.9,78.9
Mathematics,3,3,Ashford School District,1,Ashford School,2010-11,32,267.5,71.9,90.6
Mathematics,3,4,Avon School District,4,Pine Grove School,2010-11,133,277.5,75.2,93.2
Mathematics,3,4,Avon School District,3,Roaring Brook School,2010-11,126,279.1,81.7,96.8
Mathematics,3,5,Barkhamsted School District,1,Barkhamsted Elementary School,2010-11,34,270.3,82.4,100
Mathematics,3,7,Berlin School District,4,Emma Hart Willard School,2010-11,73,269,65.8,93.2
Mathematics,3,7,Berlin School District,5,Mary E. Griswold School,2010-11,89,277.6,74.2,92.1
Mathematics,3,7,Berlin School District,1,Richard D. Hubbard School,2010-11,39,284.8,71.8,92.3
Mathematics,3,8,Bethany School District,1,Bethany Community School,2010-11,71,262.1,66.2,94.4
Mathematics,3,9,Bethel School District,4,Anna H. Rockwell School,2010-11,99,289.4,88.9,97
Mathematics,3,9,Bethel School District,1,Frank A. Berry School,2010-11,96,287.3,87.5,99
Mathematics,3,11,Bloomfield School District,6,Laurel School,2010-11,128,247.4,53.1,82.8
Mathematics,3,12,Bolton School District,1,Bolton Center School,2010-11,47,270.1,76.6,85.1
Mathematics,3,13,Bozrah School District,1,Fields Memorial School,2010-11,20,276.5,70,80
Mathematics,3,14,Branford School District,16,John B. Sliney School,2010-11,68,271.4,73.5,89.7
Mathematics,3,14,Branford School District,15,Mary R. Tisko School,2010-11,84,293.3,90.5,98.8
Mathematics,3,14,Branford School District,14,Mary T. Murphy School,2010-11,87,250.1,60.9,87.4
Mathematics,3,15,Bridgeport School District,1,Barnum School,2010-11,58,202.4,15.5,43.1
Mathematics,3,15,Bridgeport School District,2,Beardsley School,2010-11,45,214.7,20,48.9
Mathematics,3,15,Bridgeport School District,3,Black Rock School,2010-11,50,223.3,30,64
Mathematics,3,15,Bridgeport School District,40,Blackham School,2010-11,91,235.2,42.9,74.7
Mathematics,3,15,Bridgeport School District,4,Bryant School,2010-11,58,192.9,8.6,34.5
Mathematics,3,15,Bridgeport School District,14,Cesar Batalla School,2010-11,103,193.7,12.6,40.8
Mathematics,3,15,Bridgeport School District,21,Classical Studies Academy,2010-11,57,223.2,24.6,64.9
Mathematics,3,15,Bridgeport School District,5,Columbus School,2010-11,73,216.9,31.5,54.8
Mathematics,3,15,Bridgeport School District,39,Cross School,2010-11,36,205,22.2,33.3
Mathematics,3,15,Bridgeport School District,42,Curiale School,2010-11,53,194.4,11.3,35.8
Mathematics,3,15,Bridgeport School District,41,Dunbar School,2010-11,29,189.7,6.9,37.9
Mathematics,3,15,Bridgeport School District,7,Edison School,2010-11,43,228.2,30.2,76.7
Mathematics,3,15,Bridgeport School District,32,Geraldine Johnson School,2010-11,80,216.4,25,57.5
Mathematics,3,15,Bridgeport School District,11,Hall School,2010-11,50,251.7,54,82
Mathematics,3,15,Bridgeport School District,12,Hallen School,2010-11,50,215.7,28,58
Mathematics,3,15,Bridgeport School District,45,High Horizons Magnet School,2010-11,49,251.4,59.2,89.8
Mathematics,3,15,Bridgeport School District,13,Hooker School,2010-11,47,201,14.9,44.7
Mathematics,3,15,Bridgeport School District,22,Jettie S. Tisdale School,2010-11,56,215.5,28.6,51.8
Mathematics,3,15,Bridgeport School District,19,Longfellow School,2010-11,46,202.5,13,50
Mathematics,3,15,Bridgeport School District,10,Luis Munoz Marin School,2010-11,88,186.6,10.2,33
Mathematics,3,15,Bridgeport School District,20,Madison School,2010-11,84,233.4,34.5,73.8
Mathematics,3,15,Bridgeport School District,46,Multicultural Magnet School,2010-11,51,278.5,88.2,96.1
Mathematics,3,15,Bridgeport School District,17,Park City Magnet School,2010-11,49,214.1,22.4,46.9
Mathematics,3,15,Bridgeport School District,25,Read School,2010-11,79,220.2,36.7,58.2
Mathematics,3,15,Bridgeport School District,26,Roosevelt School,2010-11,51,195,19.6,37.3
Mathematics,3,15,Bridgeport School District,30,Waltersville School,2010-11,63,203.9,17.5,41.3
Mathematics,3,15,Bridgeport School District,36,Winthrop School,2010-11,72,231,38.9,75
Mathematics,3,17,Bristol School District,7,Clara T. O Connell School,2010-11,53,209,20.8,47.2
Mathematics,3,17,Bristol School District,3,Edgewood School,2010-11,57,266.8,68.4,84.2
Mathematics,3,17,Bristol School District,14,Ellen P. Hubbell School,2010-11,71,253.5,62,77.5
Mathematics,3,17,Bristol School District,5,Greene-Hills School,2010-11,39,254.6,56.4,89.7
Mathematics,3,17,Bristol School District,19,Ivy Drive School,2010-11,58,257.5,60.3,79.3
Mathematics,3,17,Bristol School District,6,John J. Jennings School,2010-11,55,268,65.5,94.5
Mathematics,3,17,Bristol School District,17,Mountain View School,2010-11,45,275.7,75.6,95.6
Mathematics,3,17,Bristol School District,11,South Side School,2010-11,89,267.6,65.2,83.1
Mathematics,3,17,Bristol School District,12,Stafford School,2010-11,61,254.8,55.7,85.2
Mathematics,3,18,Brookfield School District,4,Huckleberry Hill Elementary School,2010-11,165,271,78.2,92.7
Mathematics,3,19,Brooklyn School District,1,Brooklyn Elementary School,2010-11,91,259.5,62.6,90.1
Mathematics,3,21,Canaan School District,1,Lee H. Kellogg School,2010-11,**,**,**,**
Mathematics,3,22,Canterbury School District,2,Canterbury Elementary School,2010-11,69,267.9,72.5,95.7
Mathematics,3,23,Canton School District,2,Cherry Brook Primary School,2010-11,140,265.9,70.7,87.9
Mathematics,3,241,Capitol Region Education Council,1,East Hartford/Glastonbury Magnet School,2010-11,41,267.8,63.4,87.8
Mathematics,3,241,Capitol Region Education Council,31,Montessori Magnet School,2010-11,42,258.3,57.1,88.1
Mathematics,3,241,Capitol Region Education Council,2,University of Hartford Multiple Intelligences Magnet School,2010-11,59,258.2,64.4,91.5
Mathematics,3,24,Chaplin School District,2,Chaplin Elementary School,2010-11,23,242.1,56.5,82.6
Mathematics,3,25,Cheshire School District,1,Chapman School,2010-11,46,255.7,65.2,82.6
Mathematics,3,25,Cheshire School District,6,Doolittle School,2010-11,100,269.7,66,88
Mathematics,3,25,Cheshire School District,4,Highland School,2010-11,122,281.6,80.3,98.4
Mathematics,3,25,Cheshire School District,5,Norton School,2010-11,72,270.8,75,95.8
Mathematics,3,26,Chester School District,1,Chester Elementary School,2010-11,42,283.9,81,97.6
Mathematics,3,27,Clinton School District,3,Lewin G. Joel Jr. School,2010-11,163,254.6,66.3,85.9
Mathematics,3,28,Colchester School District,2,Jack Jackter Intermediate School,2010-11,214,255,58.9,85.5
Mathematics,3,29,Colebrook School District,1,Colebrook Consolidated School,2010-11,**,**,**,**
Mathematics,3,30,Columbia School District,1,Horace W. Porter School,2010-11,58,265.6,72.4,87.9
