Level,Test,Race,School,Value
Goal,Reading,Latino/Hisp ,HPS Regular,24.7
Goal,Reading,Latino/Hisp ,HREGn,3138
Goal,Reading,Latino/Hisp ,Hartford Magnet,45.7
Goal,Reading,Latino/Hisp ,HMn,823
Goal,Reading,Latino/Hisp ,CREC Magnet ,46.8
Goal,Reading,Latino/Hisp ,CRn,267
Goal,Reading,Latino/Hisp ,Open Choice,46.6
Goal,Reading,Latino/Hisp ,OCn,253
Goal,Reading,Native Amer.,HPS Regular,NA
Goal,Reading,Native Amer.,HREGn,NA
Goal,Reading,Native Amer.,Hartford Magnet,NA
Goal,Reading,Native Amer.,HMn,NA
Goal,Reading,Native Amer.,CREC Magnet ,NA
Goal,Reading,Native Amer.,CRn,NA
Goal,Reading,Native Amer.,Open Choice,NA
Goal,Reading,Native Amer.,OCn,NA
Goal,Reading,African Amer.,HPS Regular,34.4
Goal,Reading,African Amer.,HREGn,1853
Goal,Reading,African Amer.,Hartford Magnet,47.7
Goal,Reading,African Amer.,HMn,650
Goal,Reading,African Amer.,CREC Magnet ,47.6
Goal,Reading,African Amer.,CRn,275
Goal,Reading,African Amer.,Open Choice,45.4
Goal,Reading,African Amer.,OCn,485
Goal,Reading,Asian,HPS Regular,27.8
Goal,Reading,Asian,HREGn,115
Goal,Reading,Asian,Hartford Magnet,53.1
Goal,Reading,Asian,HMn,32
Goal,Reading,Asian,CREC Magnet ,NA
Goal,Reading,Asian,CRn,NA
Goal,Reading,Asian,Open Choice,NA
Goal,Reading,Asian,OCn,NA
Goal,Reading,Hawaiian/Pacific,HPS Regular,NA
Goal,Reading,Hawaiian/Pacific,HREGn,NA
Goal,Reading,Hawaiian/Pacific,Hartford Magnet,NA
Goal,Reading,Hawaiian/Pacific,HMn,NA
Goal,Reading,Hawaiian/Pacific,CREC Magnet ,NA
Goal,Reading,Hawaiian/Pacific,CRn,NA
Goal,Reading,Hawaiian/Pacific,Open Choice,NA
Goal,Reading,Hawaiian/Pacific,OCn,NA
Goal,Reading,White,HPS Regular,51.1
Goal,Reading,White,HREGn,231
Goal,Reading,White,Hartford Magnet,73.9
Goal,Reading,White,HMn,111
Goal,Reading,White,CREC Magnet ,NA
Goal,Reading,White,CRn,NA
Goal,Reading,White,Open Choice,58.3
Goal,Reading,White,OCn,NA
Goal,Reading,Two + races,HPS Regular,24.6
Goal,Reading,Two + races,HREGn,134
Goal,Reading,Two + races,Hartford Magnet,57.9
Goal,Reading,Two + races,HMn,38
Goal,Reading,Two + races,CREC Magnet ,NA
Goal,Reading,Two + races,CRn,NA
Goal,Reading,Two + races,Open Choice,43.8
Goal,Reading,Two + races,OCn,NA
Goal,Math,Latino/Hisp ,HPS Regular,19.3
Goal,Math,Latino/Hisp ,HREGn,3251
Goal,Math,Latino/Hisp ,Hartford Magnet,36
Goal,Math,Latino/Hisp ,HMn,833
Goal,Math,Latino/Hisp ,CREC Magnet ,40.4
Goal,Math,Latino/Hisp ,CRn,267
Goal,Math,Latino/Hisp ,Open Choice,42.3
Goal,Math,Latino/Hisp ,OCn,267
Goal,Math,Native Amer.,HPS Regular,NA
Goal,Math,Native Amer.,HREGn,NA
Goal,Math,Native Amer.,Hartford Magnet,NA
Goal,Math,Native Amer.,HMn,NA
Goal,Math,Native Amer.,CREC Magnet ,NA
Goal,Math,Native Amer.,CRn,NA
